"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"FBgn0000003"	2.83957692303151	0.523871399882046	1.07593573430895	0.486898411472985	0.626330324710189	0.678408788516469
"FBgn0000008"	703.462556053113	6.28954140021167	0.205588441714334	30.5928745204023	1.52247036209284e-205	4.81234970041523e-204
"FBgn0000014"	176.047929125349	-7.19853163973315	0.680145445673916	-10.5838121618245	3.54245227004982e-26	1.67270362681131e-25
"FBgn0000015"	37.0996785978062	-2.67676541200452	0.502385942792375	-5.32810571316237	9.92423596398025e-08	2.47921347989065e-07
"FBgn0000017"	6586.34490606513	0.642765435367911	0.0768322612630573	8.36582738554601	5.9694535207895e-17	2.18061580516399e-16
"FBgn0000018"	31.2181701507703	-0.84362638048832	0.355703646685161	-2.3717113623944	0.0177059164387414	0.0275257462703825
"FBgn0000022"	0.130189703970013	0.0898519296980286	4.0804728567969	0.0220199797551308	0.982432017861418	NA
"FBgn0000024"	16416.0893750286	5.4657485437689	0.14049813022074	38.9026425845067	0	0
"FBgn0000028"	1449.81070600515	1.06550146063427	0.174021123070379	6.12282832011923	9.19287306929335e-10	2.56412683300534e-09
"FBgn0000032"	84.3622449958939	1.21452976458962	0.222259207276152	5.46447447317938	4.64280182640278e-08	1.18013697323441e-07
"FBgn0000036"	5542.82823100499	1.65670787572528	0.132305606112351	12.5218267343746	5.67146391537554e-36	3.30896974476335e-35
"FBgn0000037"	1396.32746454081	2.20679852323776	0.143141108602398	15.4169444737749	1.25922819510378e-53	9.53022916392981e-53
"FBgn0000038"	3341.62382712471	5.30053127122974	0.117704836732049	45.032399843485	0	0
"FBgn0000039"	452.501768238323	1.88266389227659	0.130751427815915	14.3988017853785	5.26483647709709e-47	3.6598446066858e-46
"FBgn0000042"	42889.296596107	-3.23784593039858	0.132976367163353	-24.3490328354443	5.93569455500193e-131	1.03556671075659e-129
"FBgn0000043"	3551.93302166192	-4.46023587352485	0.113382543295409	-39.3379416609491	0	0
"FBgn0000044"	7.60546702797914	-1.15628809447104	0.784080087684791	-1.47470661815337	0.140291436027766	0.18310809606393
"FBgn0000045"	3.29764950523796	-0.797583655584869	1.1582115604517	-0.688633823749622	0.491053730271106	0.550558833898101
"FBgn0000046"	6.01964722226721	-1.68835223269855	0.877110421080092	-1.92490271705981	0.0542415299413369	0.0771586660859758
"FBgn0000047"	5.46284537318563	-4.34709873959072	1.35324106183946	-3.21236094748832	0.00131648860670144	0.00237188651403527
"FBgn0000052"	39.2813895636898	-2.11402263096865	0.3880099385418	-5.44837237652588	5.08328462690962e-08	1.28844480861787e-07
"FBgn0000053"	32.9774811385983	-4.03211441105951	0.592467627296497	-6.80562823231127	1.00609216792637e-11	3.05869095578635e-11
"FBgn0000054"	766.843366276561	-0.187999264638323	0.121438105054564	-1.5481076928354	0.121596370251501	0.16061900087179
"FBgn0000055"	0.720445344542065	3.50475680330338	2.5232772534863	1.38897015714822	0.164841824964979	NA
"FBgn0000056"	0	NA	NA	NA	NA	NA
"FBgn0000057"	116.575370354368	0.780041900906279	0.208620550067399	3.73904632431595	0.000184719688879315	0.000363386874681676
"FBgn0000061"	0.28509384207813	-1.14663717179895	4.01086602720797	-0.285882690675944	0.774967971558609	NA
"FBgn0000063"	87.7185801385396	-2.84820715132285	0.281015859169919	-10.1353964852235	3.84809288748857e-24	1.72674130529602e-23
